q_month,q_avg_words
2010-01-01,957.60251583470108
2010-02-01,958.49741139873754
2010-03-01,945.95441638876184
2010-04-01,960.91894257354556
2010-05-01,963.32879597189356
2010-06-01,963.10671069070133
2010-07-01,971.47132528543727
2010-08-01,975.53873696389576
2010-09-01,977.86529112400854
2010-10-01,998.91373338326514
2010-11-01,1006.5482424190657
2010-12-01,1010.4432684468634
2011-01-01,1031.9265199969975
2011-02-01,1048.9666790565991
2011-03-01,1056.6199434911487
2011-04-01,1086.2128004657945
2011-05-01,1107.5202581641631
2011-06-01,1127.7308339341421
2011-07-01,1130.6764937804239
2011-08-01,1147.5601403197084
2011-09-01,1129.0145384973894
2011-10-01,1164.5580049465684
2011-11-01,1172.9161365477341
2011-12-01,1191.2895483870989
2012-01-01,1210.8954444634037
2012-02-01,1214.9448958050018
2012-03-01,1245.7207211876607
2012-04-01,1270.2492048614745
2012-05-01,1269.866174152595
2012-06-01,1279.73591623989
2012-07-01,1297.8778221192738
2012-08-01,1294.7430854979664
2012-09-01,1293.9843783966276
2012-10-01,1322.6988467765834
2012-11-01,1343.9306540530422
2012-12-01,1366.5493964607983
2013-01-01,1376.9738759753293
2013-02-01,1367.6978196169764
2013-03-01,1408.8260792690007
2013-04-01,1425.6861510739295
2013-05-01,1426.6818643493962
2013-06-01,1410.8342300730455
2013-07-01,1421.3151971029793
2013-08-01,1442.2320533351765
2013-09-01,1433.536765846736
2013-10-01,1445.4653424474079
2013-11-01,1471.7347289661054
2013-12-01,1502.3552483053274
2014-01-01,1489.8977344011223
2014-02-01,1477.5840216911427
2014-03-01,1477.303075137261
2014-04-01,1501.5181636888494
2014-05-01,1530.9080441119759
2014-06-01,1508.7977146948842
2014-07-01,1531.8440489122806
2014-08-01,1522.1322506220711
2014-09-01,1493.9988400175969
2014-10-01,1515.0354455977144
2014-11-01,1518.4599448905228
2014-12-01,1556.0027412420143
2015-01-01,1555.8976546730905
2015-02-01,1537.9844224321635
2015-03-01,1546.0970386342194
2015-04-01,1570.8980703911363
2015-05-01,1570.4998135958208
2015-06-01,1564.900942178984
2015-07-01,1575.0813606020979
2015-08-01,1586.3034688707871
2015-09-01,1589.3923181448574
2015-10-01,1583.9716523724887
2015-11-01,1626.2848141356906
2015-12-01,1635.9276591836754
2016-01-01,1615.7020565918103
2016-02-01,1617.2499605757005
2016-03-01,1631.1129773466075
2016-04-01,1637.7059362293139
2016-05-01,1623.1507152152424
2016-06-01,1610.65843108386
2016-07-01,1630.9017709576374
2016-08-01,1639.701120151816
2016-09-01,1621.0779964077171
2016-10-01,1621.8178173366971
2016-11-01,1637.4974998020334
2016-12-01,1648.35037343284
2017-01-01,1647.9970520817567
2017-02-01,1637.0577581184252
2017-03-01,1639.4258293908722
2017-04-01,1666.2639438806509
2017-05-01,1651.071359886095
2017-06-01,1640.0482472714284
2017-07-01,1659.779028240117
2017-08-01,1667.6265028648522
2017-09-01,1632.4647854662558
2017-10-01,1640.9138343510067
2017-11-01,1646.4207762557251
2017-12-01,1674.2021745498639
2018-01-01,1641.758125127295
2018-02-01,1660.3330273687432
2018-03-01,1667.5447570040042
2018-04-01,1690.3800034107167
2018-05-01,1683.3047270880256
2018-06-01,1664.6267251592994
2018-07-01,1680.6436732441948
2018-08-01,1673.2146815095959
2018-09-01,1667.8530330474116
2018-10-01,1648.6030654122721
2018-11-01,1660.560445854843
2018-12-01,1681.7159012971479
2019-01-01,1698.5461585140733
2019-02-01,1684.9828898619
2019-03-01,1692.2050824242956
2019-04-01,1714.8129204107897
2019-05-01,1720.7994273443005
2019-06-01,1718.8654028573196
2019-07-01,1728.0514317850516
2019-08-01,1745.3178547456962
2019-09-01,1699.9442407676411
2019-10-01,1690.0009848322775
2019-11-01,1710.5122107283846
2019-12-01,1757.3816545342268
2020-01-01,1739.8655124616353
2020-02-01,1742.5946865744734
2020-03-01,1752.0844235383406
2020-04-01,1733.906939069868
2020-05-01,1720.1381052881957
2020-06-01,1730.6381810172431
2020-07-01,1789.6384213175834
2020-08-01,1818.5355282467208
