q_month,q_length_avg
2010-01-01,335.24241484696989
2010-02-01,338.85303855127
2010-03-01,342.09177703668558
2010-04-01,353.17536252063735
2010-05-01,353.01759424119172
2010-06-01,355.58927360343046
2010-07-01,360.82075440834808
2010-08-01,366.29773128820852
2010-09-01,368.78965253727063
2010-10-01,383.41172065156485
2010-11-01,392.17405836225618
2010-12-01,402.29021554128167
2011-01-01,409.34666882356834
2011-02-01,422.33192647570019
2011-03-01,434.34491075735559
2011-04-01,454.41567204524915
2011-05-01,472.26999336770763
2011-06-01,474.47991268124895
2011-07-01,476.86532812900856
2011-08-01,487.00377641407204
2011-09-01,473.03814777406217
2011-10-01,497.85093799185188
2011-11-01,505.25513055032752
2011-12-01,516.88007646355629
2012-01-01,525.140991298412
2012-02-01,533.33521518705027
2012-03-01,557.43776979749236
2012-04-01,575.94314951676972
2012-05-01,577.74758039567962
2012-06-01,579.0225082578163
2012-07-01,591.59282644490247
2012-08-01,589.15691800750744
2012-09-01,590.109231288184
2012-10-01,609.64351848792819
2012-11-01,627.82108544973551
2012-12-01,646.1379936716304
2013-01-01,647.13229256392174
2013-02-01,645.63401915114059
2013-03-01,677.48481979386816
2013-04-01,693.21464420405914
2013-05-01,694.66732399218222
2013-06-01,685.78130578615321
2013-07-01,689.82884398296551
2013-08-01,702.42017128533951
2013-09-01,704.56771336841643
2013-10-01,712.03978555153753
2013-11-01,731.23715116180438
2013-12-01,755.5911129692156
2014-01-01,740.32324774172412
2014-02-01,738.17563633688474
2014-03-01,742.18380415029867
2014-04-01,760.70206881853562
2014-05-01,773.19472715371387
2014-06-01,752.16020195154886
2014-07-01,767.11273780674424
2014-08-01,758.13939554997648
2014-09-01,745.51330113143
2014-10-01,755.28241087188144
2014-11-01,765.22060975971658
2014-12-01,792.33090798076535
2015-01-01,784.84004263147381
2015-02-01,774.06650852274686
2015-03-01,782.9113725612691
2015-04-01,798.87083498301615
2015-05-01,796.92267953388387
2015-06-01,792.45127686578667
2015-07-01,796.13113218058982
2015-08-01,802.17605856790635
2015-09-01,806.24267957185862
2015-10-01,802.60965986032772
2015-11-01,833.77864088459785
2015-12-01,839.48579644926451
2016-01-01,821.12266296385928
2016-02-01,824.593840347347
2016-03-01,838.17578236235431
2016-04-01,844.93745219210791
2016-05-01,833.18556921934794
2016-06-01,820.264702879588
2016-07-01,832.64649197999563
2016-08-01,836.96605187382818
2016-09-01,824.50189143454475
2016-10-01,827.21124299504413
2016-11-01,837.76903148439658
2016-12-01,846.94878199217737
2017-01-01,839.40590480353922
2017-02-01,837.3660634994261
2017-03-01,843.89682406979159
2017-04-01,866.19999445461031
2017-05-01,855.109042708616
2017-06-01,845.20595394225415
2017-07-01,855.95498335574371
2017-08-01,855.98255979379132
2017-09-01,834.10528660438024
2017-10-01,838.82585260510973
2017-11-01,845.43296452406275
2017-12-01,862.89729475641082
2018-01-01,831.77161404179594
2018-02-01,845.06651497718553
2018-03-01,850.97329331046808
2018-04-01,872.39934708992075
2018-05-01,867.76062767979931
2018-06-01,853.94005571745
2018-07-01,865.79684700602
2018-08-01,854.45066019368619
2018-09-01,853.98822323227921
2018-10-01,840.07554623038
2018-11-01,848.63773306647147
2018-12-01,862.28310720142917
2019-01-01,858.33763389794058
2019-02-01,854.82336140115387
2019-03-01,862.58445433644908
2019-04-01,870.90155969191028
2019-05-01,873.50272011453092
2019-06-01,869.06165053114137
2019-07-01,877.58869612414662
2019-08-01,881.00496546547856
2019-09-01,860.36222169194377
2019-10-01,856.54452802561025
2019-11-01,880.05856084035588
2019-12-01,916.77698136544632
2020-01-01,895.83818700543407
2020-02-01,903.54909925822051
2020-03-01,916.98188533905932
2020-04-01,903.6873839496734
2020-05-01,893.89042636464717
2020-06-01,906.14868177856169
2020-07-01,947.87501433035789
2020-08-01,967.34321753840493
