a_month,a_total_count,a_with_vote_28days,vote_count,vote_rate,avg_votes
2010-01-01,109358,65949,164230,0.60305601784963148,2.490257623314986
2010-02-01,103608,61979,145709,0.59820670218515948,2.3509414479097761
2010-03-01,116347,68382,159262,0.58774184121636142,2.329004708841508
2010-04-01,107645,62817,148315,0.58355706256677042,2.3610646799433272
2010-05-01,110787,63801,148471,0.57588886782745263,2.3270951865958214
2010-06-01,116570,67220,156368,0.57664922364244664,2.3262124367747696
2010-07-01,127895,72895,169622,0.56995973259314281,2.3269360038411415
2010-08-01,131442,74261,170660,0.56497162246466126,2.2981107176041258
2010-09-01,123897,70936,163866,0.57254009378758164,2.3100541333032591
2010-10-01,128459,73132,168481,0.56930226764960024,2.3037931411693924
2010-11-01,143390,80866,177279,0.5639584350373108,2.1922563252788563
2010-12-01,140913,78391,166454,0.556307792751556,2.1233815106325982
2011-01-01,161940,90216,192748,0.55709522045201931,2.1365168041145695
2011-02-01,163493,89922,187979,0.55000519899934552,2.0904672938769155
2011-03-01,201325,108578,222690,0.53931702471128773,2.0509679677282691
2011-04-01,187239,101203,207072,0.54050171171604211,2.0461053526081243
2011-05-01,193564,108468,231645,0.56037279659440808,2.135606814913154
2011-06-01,192493,108320,236765,0.56272176131080087,2.1857920974889216
2011-07-01,193242,105977,223194,0.54841597582306123,2.10606074903045
2011-08-01,205143,112770,239883,0.54971410187040259,2.1271880819366853
2011-09-01,189208,103905,217091,0.54915754090736124,2.0893219768057358
2011-10-01,185047,101983,212155,0.55111944533010537,2.0802976966749358
2011-11-01,202586,112286,234708,0.5542633745668506,2.0902694904084211
2011-12-01,192886,106404,222794,0.55164190247088951,2.0938498552685991
2012-01-01,215735,119623,249385,0.55449046283635017,2.0847579478862759
2012-02-01,225277,122306,246320,0.54291383496761769,2.0139649731002569
2012-03-01,240940,129278,257959,0.53655681912509334,1.9953820448954964
2012-04-01,227500,122647,248856,0.53910769230769229,2.0290426997806712
2012-05-01,236169,126859,257774,0.53715347907642408,2.031972504907023
2012-06-01,227241,121852,251373,0.5362236568224924,2.0629370055477136
2012-07-01,245318,128616,258644,0.52428276767297954,2.0109784163712137
2012-08-01,246545,128731,260016,0.52213997444685556,2.0198398210221313
2012-09-01,226713,122805,241650,0.541676039750698,1.9677537559545621
