past_q_count_,q_count,q_with_fav_unique,q_with_fav_rate,fav_total,fav_per_q
5800,100,49,0.49,160,3.2653061224489797
5900,100,47,0.47,86,1.8297872340425532
6000,100,56,0.56,141,2.5178571428571428
6100,100,55,0.55,153,2.7818181818181817
6200,100,45,0.45,113,2.5111111111111111
6300,100,55,0.55,104,1.8909090909090909
6400,100,46,0.46,138,3
6500,100,52,0.52,104,2
6600,100,46,0.46,108,2.347826086956522
6700,100,57,0.57,234,4.1052631578947372
6800,100,57,0.57,170,2.9824561403508771
6900,100,46,0.46,133,2.8913043478260869
7000,100,46,0.46,123,2.6739130434782608
7100,100,47,0.47,153,3.25531914893617
7200,100,48,0.48,82,1.7083333333333333
7300,100,44,0.44,132,3
7400,100,53,0.53,117,2.2075471698113209
7500,100,56,0.56,178,3.1785714285714284
7600,100,58,0.58,259,4.4655172413793105
7700,100,50,0.5,101,2.02
7800,100,47,0.47,114,2.4255319148936172
7900,100,50,0.5,158,3.16
8000,100,53,0.53,157,2.9622641509433962
8100,100,50,0.5,100,2
8200,100,49,0.49,169,3.4489795918367347
8300,100,48,0.48,95,1.9791666666666667
8400,100,42,0.42,212,5.0476190476190474
8500,100,56,0.56,160,2.8571428571428572
8600,100,58,0.58,143,2.4655172413793105
8700,100,46,0.46,126,2.7391304347826089
8800,100,48,0.48,280,5.833333333333333
8900,100,50,0.5,99,1.98
9000,100,48,0.48,134,2.7916666666666665
9100,100,56,0.56,135,2.4107142857142856
9200,100,43,0.43,88,2.0465116279069768
9300,100,45,0.45,99,2.2
9400,100,43,0.43,285,6.6279069767441863
9500,100,50,0.5,102,2.04
9600,100,56,0.56,128,2.2857142857142856
9700,100,50,0.5,113,2.26
9800,100,55,0.55,136,2.4727272727272727
9900,100,50,0.5,137,2.74
10000,100,57,0.57,136,2.3859649122807016
10100,100,53,0.53,125,2.358490566037736
10200,100,53,0.53,123,2.3207547169811322
10300,100,51,0.51,197,3.8627450980392157
10400,100,58,0.58,127,2.1896551724137931
10500,100,55,0.55,138,2.5090909090909093
10600,100,46,0.46,140,3.0434782608695654
10700,100,48,0.48,102,2.125
10800,100,57,0.57,112,1.9649122807017543
10900,100,49,0.49,104,2.1224489795918369
11000,100,45,0.45,76,1.6888888888888889
11100,100,54,0.54,133,2.4629629629629628
11200,100,60,0.6,138,2.3
11300,100,44,0.44,121,2.75
11400,100,50,0.5,171,3.42
11500,100,45,0.45,96,2.1333333333333333
11600,100,47,0.47,112,2.3829787234042552
11700,100,60,0.6,123,2.05
11800,100,51,0.51,115,2.2549019607843137
11900,100,53,0.53,127,2.3962264150943398
12000,100,57,0.57,149,2.6140350877192984
12100,100,46,0.46,103,2.2391304347826089
12200,100,59,0.59,138,2.3389830508474576
12300,100,54,0.54,110,2.0370370370370372
12400,100,57,0.57,223,3.9122807017543861
12500,100,66,0.66,251,3.8030303030303032
12600,100,63,0.63,204,3.2380952380952381
12700,100,57,0.57,142,2.4912280701754388
12800,100,51,0.51,181,3.5490196078431371
12900,100,62,0.62,165,2.661290322580645
13000,100,59,0.59,160,2.7118644067796609
13100,100,51,0.51,329,6.4509803921568629
13200,100,54,0.54,153,2.8333333333333335
13300,100,66,0.66,256,3.8787878787878789
13400,100,55,0.55,137,2.4909090909090907
13500,100,51,0.51,189,3.7058823529411766
13600,100,46,0.46,95,2.0652173913043477
13700,100,48,0.48,97,2.0208333333333335
13800,100,43,0.43,97,2.2558139534883721
13900,100,45,0.45,131,2.911111111111111
14000,100,51,0.51,155,3.0392156862745097
14100,100,57,0.57,142,2.4912280701754388
14200,100,55,0.55,120,2.1818181818181817
14300,100,45,0.45,105,2.3333333333333335
14400,100,55,0.55,117,2.1272727272727274
14500,100,55,0.55,205,3.7272727272727271
14600,100,58,0.58,169,2.9137931034482758
14700,100,53,0.53,218,4.1132075471698117
14800,100,54,0.54,188,3.4814814814814814
14900,100,52,0.52,157,3.0192307692307692
15000,100,56,0.56,129,2.3035714285714284
15100,100,53,0.53,128,2.4150943396226414
15200,100,54,0.54,165,3.0555555555555554
15300,100,57,0.57,110,1.9298245614035088
15400,100,53,0.53,113,2.1320754716981134
15500,100,52,0.52,118,2.2692307692307692
15600,100,62,0.62,144,2.3225806451612905
15700,100,54,0.54,125,2.3148148148148149
15800,100,45,0.45,81,1.8
15900,100,53,0.53,158,2.9811320754716979
16000,100,53,0.53,107,2.0188679245283021
16100,100,55,0.55,223,4.0545454545454547
16200,100,53,0.53,143,2.69811320754717
16300,100,53,0.53,170,3.2075471698113209
16400,100,47,0.47,89,1.8936170212765957
16500,100,54,0.54,158,2.925925925925926
16600,100,55,0.55,115,2.0909090909090908
16700,100,51,0.51,120,2.3529411764705883
16800,100,53,0.53,118,2.2264150943396226
16900,100,52,0.52,143,2.75
17000,100,54,0.54,129,2.3888888888888888
17100,100,52,0.52,119,2.2884615384615383
17200,100,49,0.49,177,3.6122448979591835
17300,100,47,0.47,104,2.2127659574468086
17400,100,47,0.47,118,2.5106382978723403
17500,100,61,0.61,256,4.19672131147541
17600,100,52,0.52,137,2.6346153846153846
17700,100,53,0.53,106,2
17800,100,54,0.54,116,2.1481481481481484
17900,100,43,0.43,85,1.9767441860465116
18000,100,42,0.42,96,2.2857142857142856
18100,100,45,0.45,79,1.7555555555555555
18200,100,46,0.46,114,2.4782608695652173
18300,100,46,0.46,145,3.152173913043478
18400,100,57,0.57,113,1.9824561403508771
18500,100,47,0.47,448,9.53191489361702
18600,100,51,0.51,163,3.1960784313725492
18700,100,49,0.49,148,3.0204081632653059
18800,100,55,0.55,307,5.581818181818182
18900,100,46,0.46,93,2.0217391304347827
19000,100,54,0.54,148,2.7407407407407409
19100,100,45,0.45,79,1.7555555555555555
19200,100,48,0.48,136,2.8333333333333335
19300,100,51,0.51,109,2.1372549019607843
19400,100,47,0.47,159,3.3829787234042552
19500,100,55,0.55,133,2.418181818181818
19600,100,55,0.55,265,4.8181818181818183
19700,100,48,0.48,108,2.25
19800,100,51,0.51,146,2.8627450980392157
19900,100,44,0.44,94,2.1363636363636362
20000,100,45,0.45,139,3.088888888888889
20100,100,47,0.47,92,1.9574468085106382
20200,100,52,0.52,133,2.5576923076923075
20300,100,53,0.53,134,2.5283018867924527
20400,100,46,0.46,105,2.2826086956521738
20500,100,42,0.42,96,2.2857142857142856
20600,100,50,0.5,118,2.36
20700,100,59,0.59,149,2.5254237288135593
20800,100,55,0.55,118,2.1454545454545455
20900,100,47,0.47,112,2.3829787234042552
21000,100,50,0.5,114,2.28
21100,100,57,0.57,109,1.9122807017543859
21200,100,56,0.56,161,2.875
21300,100,61,0.61,140,2.2950819672131146
21400,100,55,0.55,121,2.2
21500,100,45,0.45,76,1.6888888888888889
21600,100,49,0.49,151,3.0816326530612246
21700,100,40,0.4,71,1.775
21800,100,45,0.45,105,2.3333333333333335
21900,100,48,0.48,128,2.6666666666666665
22000,100,50,0.5,119,2.38
22100,100,56,0.56,104,1.8571428571428572
22200,100,54,0.54,260,4.8148148148148149
22300,100,49,0.49,123,2.510204081632653
22400,100,44,0.44,91,2.0681818181818183
22500,100,52,0.52,140,2.6923076923076925
22600,100,45,0.45,106,2.3555555555555556
22700,100,39,0.39,71,1.8205128205128205
22800,100,45,0.45,85,1.8888888888888888
22900,100,47,0.47,139,2.9574468085106385
23000,100,45,0.45,77,1.711111111111111
23100,100,41,0.41,288,7.024390243902439
23200,100,37,0.37,87,2.3513513513513513
23300,100,48,0.48,206,4.291666666666667
23400,100,52,0.52,122,2.3461538461538463
23500,100,60,0.6,284,4.7333333333333334
23600,100,53,0.53,145,2.7358490566037736
23700,100,47,0.47,175,3.7234042553191489
23800,100,60,0.6,173,2.8833333333333333
23900,100,55,0.55,308,5.6
24000,100,48,0.48,79,1.6458333333333333
24100,100,46,0.46,99,2.152173913043478
24200,100,47,0.47,86,1.8297872340425532
24300,100,47,0.47,99,2.1063829787234041
24400,100,37,0.37,85,2.2972972972972974
24500,100,55,0.55,98,1.7818181818181817
24600,100,43,0.43,80,1.8604651162790697
24700,100,43,0.43,82,1.9069767441860466
24800,100,46,0.46,81,1.7608695652173914
24900,100,46,0.46,104,2.2608695652173911
25000,100,45,0.45,75,1.6666666666666667
25100,100,43,0.43,116,2.6976744186046511
25200,100,48,0.48,113,2.3541666666666665
25300,100,49,0.49,82,1.6734693877551021
25400,100,51,0.51,131,2.5686274509803924
25500,100,44,0.44,121,2.75
25600,100,53,0.53,258,4.867924528301887
25700,100,42,0.42,137,3.2619047619047619
25800,100,42,0.42,88,2.0952380952380953
25900,100,50,0.5,121,2.42
26000,100,56,0.56,117,2.0892857142857144
26100,100,55,0.55,137,2.4909090909090907
26200,100,56,0.56,107,1.9107142857142858
26300,100,43,0.43,81,1.8837209302325582
26400,100,46,0.46,201,4.3695652173913047
26500,100,45,0.45,92,2.0444444444444443
26600,100,44,0.44,170,3.8636363636363638
26700,100,39,0.39,81,2.0769230769230771
26800,100,44,0.44,111,2.5227272727272729
26900,100,48,0.48,95,1.9791666666666667
27000,100,34,0.34,61,1.7941176470588236
27100,100,43,0.43,100,2.3255813953488373
27200,100,43,0.43,73,1.6976744186046511
27300,100,56,0.56,114,2.0357142857142856
27400,100,49,0.49,189,3.8571428571428572
27500,100,47,0.47,86,1.8297872340425532
27600,100,52,0.52,115,2.2115384615384617
27700,100,45,0.45,103,2.2888888888888888
27800,100,43,0.43,122,2.8372093023255816
27900,100,55,0.55,111,2.0181818181818181
28000,100,45,0.45,143,3.1777777777777776
28100,100,47,0.47,76,1.6170212765957446
28200,100,48,0.48,133,2.7708333333333335
28300,100,44,0.44,78,1.7727272727272727
28400,100,43,0.43,248,5.7674418604651159
28500,100,46,0.46,91,1.9782608695652173
28600,100,46,0.46,131,2.847826086956522
28700,100,39,0.39,89,2.2820512820512819
28800,100,39,0.39,95,2.4358974358974357
28900,100,46,0.46,150,3.2608695652173911
29000,100,54,0.54,171,3.1666666666666665
29100,100,43,0.43,108,2.5116279069767442
29200,100,52,0.52,136,2.6153846153846154
29300,100,52,0.52,248,4.7692307692307692
29400,100,55,0.55,105,1.9090909090909092
29500,100,42,0.42,107,2.5476190476190474
29600,100,46,0.46,149,3.2391304347826089
29700,100,48,0.48,104,2.1666666666666665
29800,100,46,0.46,98,2.1304347826086958
29900,100,54,0.54,104,1.9259259259259258
30000,100,44,0.44,159,3.6136363636363638
30100,100,44,0.44,100,2.2727272727272729
30200,100,54,0.54,143,2.6481481481481484
30300,100,41,0.41,90,2.1951219512195124
30400,100,48,0.48,89,1.8541666666666667
30500,100,52,0.52,128,2.4615384615384617
30600,100,39,0.39,296,7.5897435897435894
30700,100,46,0.46,73,1.5869565217391304
30800,100,37,0.37,66,1.7837837837837838
30900,100,52,0.52,114,2.1923076923076925
31000,100,46,0.46,98,2.1304347826086958
31100,100,51,0.51,120,2.3529411764705883
31200,100,48,0.48,122,2.5416666666666665
31300,100,50,0.5,154,3.08
31400,100,46,0.46,104,2.2608695652173911
31500,100,56,0.56,144,2.5714285714285716
31600,100,50,0.5,197,3.94
31700,100,52,0.52,137,2.6346153846153846
31800,100,53,0.53,132,2.4905660377358489
31900,100,51,0.51,166,3.2549019607843137
32000,100,45,0.45,79,1.7555555555555555
32100,100,50,0.5,100,2
32200,100,40,0.4,177,4.425
32300,100,51,0.51,139,2.7254901960784315
32400,100,35,0.35,64,1.8285714285714285
32500,100,46,0.46,89,1.9347826086956521
32600,100,48,0.48,94,1.9583333333333333
32700,100,54,0.54,94,1.7407407407407407
32800,100,52,0.52,88,1.6923076923076923
32900,100,45,0.45,118,2.6222222222222222
33000,100,53,0.53,146,2.7547169811320753
33100,100,48,0.48,155,3.2291666666666665
33200,100,44,0.44,100,2.2727272727272729
33300,100,45,0.45,90,2
33400,100,43,0.43,79,1.8372093023255813
33500,100,46,0.46,95,2.0652173913043477
33600,100,54,0.54,114,2.1111111111111112
33700,100,54,0.54,150,2.7777777777777777
33800,100,53,0.53,140,2.641509433962264
33900,100,46,0.46,91,1.9782608695652173
34000,100,46,0.46,90,1.9565217391304348
34100,100,50,0.5,108,2.16
34200,100,49,0.49,128,2.6122448979591835
34300,100,58,0.58,104,1.7931034482758621
34400,100,45,0.45,96,2.1333333333333333
34500,100,53,0.53,106,2
34600,100,55,0.55,119,2.1636363636363636
34700,100,53,0.53,133,2.5094339622641511
34800,100,46,0.46,77,1.673913043478261
34900,100,52,0.52,106,2.0384615384615383
35000,100,57,0.57,120,2.1052631578947367
35100,100,52,0.52,183,3.5192307692307692
35200,100,43,0.43,85,1.9767441860465116
35300,100,56,0.56,176,3.1428571428571428
35400,100,50,0.5,231,4.62
35500,100,53,0.53,109,2.0566037735849059
35600,100,51,0.51,277,5.4313725490196081
35700,100,53,0.53,99,1.8679245283018868
35800,100,42,0.42,79,1.8809523809523809
35900,100,46,0.46,117,2.5434782608695654
36000,100,53,0.53,97,1.8301886792452831
36100,100,49,0.49,102,2.0816326530612246
36200,100,53,0.53,142,2.6792452830188678
36300,100,48,0.48,103,2.1458333333333335
36400,100,55,0.55,100,1.8181818181818181
36500,100,55,0.55,105,1.9090909090909092
36600,100,47,0.47,108,2.2978723404255321
36700,100,41,0.41,89,2.1707317073170733
36800,100,44,0.44,118,2.6818181818181817
36900,100,43,0.43,88,2.0465116279069768
37000,100,58,0.58,152,2.6206896551724137
37100,100,43,0.43,137,3.1860465116279069
37200,100,44,0.44,121,2.75
37300,100,51,0.51,134,2.6274509803921569
37400,100,47,0.47,153,3.25531914893617
37500,100,56,0.56,224,4
37600,100,43,0.43,81,1.8837209302325582
37700,100,47,0.47,109,2.3191489361702127
37800,100,38,0.38,78,2.0526315789473686
37900,100,47,0.47,93,1.9787234042553192
38000,100,52,0.52,130,2.5
38100,100,56,0.56,100,1.7857142857142858
38200,100,55,0.55,119,2.1636363636363636
38300,100,52,0.52,134,2.5769230769230771
38400,100,53,0.53,137,2.5849056603773586
38500,100,52,0.52,94,1.8076923076923077
38600,100,49,0.49,106,2.1632653061224492
38700,100,62,0.62,147,2.370967741935484
38800,100,53,0.53,102,1.9245283018867925
38900,100,51,0.51,95,1.8627450980392157
39000,100,49,0.49,109,2.2244897959183674
39100,100,55,0.55,168,3.0545454545454547
39200,100,53,0.53,115,2.1698113207547172
39300,100,49,0.49,88,1.7959183673469388
39400,100,46,0.46,97,2.1086956521739131
39500,100,50,0.5,152,3.04
39600,100,58,0.58,116,2
39700,100,46,0.46,110,2.3913043478260869
39800,100,58,0.58,137,2.3620689655172415
39900,100,46,0.46,116,2.5217391304347827
40000,100,53,0.53,97,1.8301886792452831
40100,100,51,0.51,180,3.5294117647058822
40200,100,46,0.46,77,1.673913043478261
40300,100,54,0.54,134,2.4814814814814814
40400,100,55,0.55,108,1.9636363636363636
40500,100,55,0.55,218,3.9636363636363638
40600,100,49,0.49,96,1.9591836734693877
40700,100,51,0.51,132,2.5882352941176472
40800,100,51,0.51,105,2.0588235294117645
40900,100,45,0.45,85,1.8888888888888888
41000,100,46,0.46,108,2.347826086956522
41100,100,59,0.59,126,2.1355932203389831
41200,100,54,0.54,159,2.9444444444444446
41300,100,51,0.51,104,2.0392156862745097
41400,100,52,0.52,123,2.3653846153846154
41500,100,48,0.48,110,2.2916666666666665
41600,100,55,0.55,171,3.1090909090909089
41700,100,56,0.56,199,3.5535714285714284
41800,100,53,0.53,124,2.3396226415094339
41900,100,54,0.54,103,1.9074074074074074
42000,100,52,0.52,114,2.1923076923076925
42100,100,45,0.45,75,1.6666666666666667
42200,100,52,0.52,147,2.8269230769230771
42300,100,51,0.51,131,2.5686274509803924
42400,100,53,0.53,114,2.1509433962264151
42500,100,53,0.53,111,2.0943396226415096
42600,100,48,0.48,81,1.6875
42700,100,64,0.64,133,2.078125
42800,100,59,0.59,115,1.9491525423728813
42900,100,50,0.5,137,2.74
43000,100,59,0.59,116,1.9661016949152543
43100,100,43,0.43,102,2.3720930232558142
43200,100,55,0.55,121,2.2
43300,100,43,0.43,80,1.8604651162790697
43400,100,52,0.52,101,1.9423076923076923
43500,100,53,0.53,198,3.7358490566037736
43600,100,59,0.59,124,2.1016949152542375
43700,100,58,0.58,139,2.396551724137931
43800,100,51,0.51,96,1.8823529411764706
43900,100,58,0.58,393,6.7758620689655169
44000,100,46,0.46,109,2.3695652173913042
44100,100,53,0.53,145,2.7358490566037736
44200,100,55,0.55,102,1.8545454545454545
44300,100,53,0.53,134,2.5283018867924527
44400,100,50,0.5,102,2.04
44500,100,58,0.58,194,3.3448275862068964
44600,100,46,0.46,110,2.3913043478260869
44700,100,44,0.44,82,1.8636363636363635
44800,100,56,0.56,114,2.0357142857142856
44900,100,43,0.43,71,1.6511627906976745
45000,100,49,0.49,136,2.7755102040816326
45100,100,53,0.53,106,2
45200,100,51,0.51,141,2.7647058823529411
45300,100,46,0.46,70,1.5217391304347827
45400,100,55,0.55,149,2.709090909090909
45500,100,47,0.47,110,2.3404255319148937
45600,100,43,0.43,89,2.0697674418604652
45700,100,54,0.54,114,2.1111111111111112
45800,100,46,0.46,87,1.8913043478260869
45900,100,51,0.51,95,1.8627450980392157
46000,100,46,0.46,144,3.1304347826086958
46100,100,45,0.45,123,2.7333333333333334
46200,100,44,0.44,187,4.25
46300,100,46,0.46,83,1.8043478260869565
46400,100,52,0.52,87,1.6730769230769231
46500,100,43,0.43,78,1.8139534883720929
46600,100,57,0.57,98,1.7192982456140351
46700,100,47,0.47,114,2.4255319148936172
46800,100,59,0.59,138,2.3389830508474576
46900,100,57,0.57,105,1.8421052631578947
47000,100,53,0.53,102,1.9245283018867925
47100,100,55,0.55,104,1.8909090909090909
47200,100,53,0.53,131,2.4716981132075473
47300,100,51,0.51,107,2.0980392156862746
47400,100,45,0.45,125,2.7777777777777777
47500,100,52,0.52,107,2.0576923076923075
47600,100,48,0.48,94,1.9583333333333333
47700,100,46,0.46,320,6.9565217391304346
47800,100,36,0.36,69,1.9166666666666667
47900,100,53,0.53,196,3.69811320754717
48000,100,48,0.48,116,2.4166666666666665
48100,100,49,0.49,109,2.2244897959183674
48200,100,48,0.48,136,2.8333333333333335
48300,100,46,0.46,114,2.4782608695652173
48400,100,57,0.57,181,3.1754385964912282
48500,100,48,0.48,72,1.5
48600,100,53,0.53,124,2.3396226415094339
48700,100,50,0.5,121,2.42
48800,100,42,0.42,75,1.7857142857142858
48900,100,42,0.42,94,2.2380952380952381
49000,100,51,0.51,102,2
49100,100,48,0.48,97,2.0208333333333335
49200,100,51,0.51,107,2.0980392156862746
49300,100,42,0.42,75,1.7857142857142858
49400,100,50,0.5,83,1.66
49500,100,52,0.52,134,2.5769230769230771
49600,100,53,0.53,97,1.8301886792452831
49700,100,36,0.36,52,1.4444444444444444
49800,100,46,0.46,376,8.1739130434782616
49900,100,52,0.52,96,1.8461538461538463
50000,100,53,0.53,98,1.8490566037735849
50100,100,42,0.42,83,1.9761904761904763
50200,100,50,0.5,93,1.86
50300,100,45,0.45,78,1.7333333333333334
50400,100,41,0.41,71,1.7317073170731707
50500,100,43,0.43,128,2.9767441860465116
50600,100,43,0.43,117,2.7209302325581395
50700,100,49,0.49,77,1.5714285714285714
50800,100,49,0.49,96,1.9591836734693877
50900,100,46,0.46,98,2.1304347826086958
51000,100,48,0.48,98,2.0416666666666665
51100,100,53,0.53,98,1.8490566037735849
51200,100,45,0.45,160,3.5555555555555554
51300,100,57,0.57,121,2.1228070175438596
51400,100,40,0.4,70,1.75
51500,100,47,0.47,126,2.6808510638297873
