recency_,frequency_,population
1204,9,120
1204,10,96
1204,11,401
1232,1,24115
1232,2,6156
1232,3,2618
1232,4,1286
1232,5,713
1232,6,446
1232,7,296
1232,8,198
1232,9,150
1232,10,103
1232,11,351
1260,1,25215
1260,2,6100
1260,3,2403
1260,4,1159
1260,5,679
1260,6,423
1260,7,307
1260,8,150
1260,9,111
1260,10,84
1260,11,292
1288,1,25838
1288,2,5835
1288,3,2137
1288,4,1027
1288,5,579
1288,6,368
1288,7,210
1288,8,164
1288,9,110
1288,10,62
1288,11,247
1316,1,24510
1316,2,5372
1316,3,1891
1316,4,903
1316,5,475
1316,6,300
1316,7,193
1316,8,116
1316,9,89
1316,10,68
1316,11,237
1344,1,21706
1344,2,4392
1344,3,1520
1344,4,737
1344,5,365
1344,6,250
1344,7,130
1344,8,107
1344,9,62
1344,10,45
1344,11,162
1372,1,22648
1372,2,4412
1372,3,1517
1372,4,677
1372,5,338
1372,6,234
1372,7,143
1372,8,75
1372,9,73
1372,10,43
1372,11,154
1400,1,24255
1400,2,4273
1400,3,1313
1400,4,576
1400,5,285
1400,6,175
1400,7,104
1400,8,83
1400,9,60
1400,10,30
1400,11,108
1428,1,25402
1428,2,3644
1428,3,1075
1428,4,426
1428,5,199
1428,6,128
1428,7,92
1428,8,57
1428,9,40
1428,10,18
1428,11,62
1456,1,26325
1456,2,2631
1456,3,585
1456,4,209
1456,5,94
1456,6,44
1456,7,33
1456,8,12
1456,9,14
1456,10,13
1456,11,24
1484,1,4356
1484,2,139
1484,3,21
1484,4,7
1484,5,2
1484,6,2
1484,8,1
