q_first_a_diff,q_total,q_next_in28days_count,q_next_after29days_count,q_no_repeat_count,q_retention_28days,q_retention_after29days,no_repeat_rate
84,4637,1934,1611,1092,0.417080008626267,0.34742290273883975,0.23549708863489324
85,4620,1975,1638,1007,0.42748917748917747,0.35454545454545455,0.21796536796536797
86,4697,2013,1573,1111,0.42857142857142855,0.33489461358313816,0.23653395784543327
87,5214,2266,1738,1210,0.43459915611814348,0.33333333333333331,0.2320675105485232
88,5697,2405,2011,1281,0.42215200982973494,0.35299280322977006,0.224855186940495
89,6287,2649,2201,1437,0.42134563384762208,0.35008748210593288,0.22856688404644504
90,6569,2762,2335,1472,0.42045973511950069,0.35545745166692039,0.22408281321357892
91,6796,2900,2351,1545,0.42672160094173045,0.3459387875220718,0.22733961153619775
92,7066,2987,2511,1568,0.422728559298047,0.35536371355788282,0.2219077271440702
93,7467,3131,2646,1690,0.41931163787330922,0.35435918039373243,0.22632918173295835
94,7975,3342,2783,1850,0.41905956112852666,0.34896551724137931,0.23197492163009403
95,8334,3482,2892,1960,0.41780657547396211,0.34701223902087835,0.2351811855051596
96,7693,3276,2644,1773,0.42584167424931757,0.34368906798388144,0.230469257766801
97,6888,2942,2396,1550,0.42711962833914052,0.34785133565621368,0.22502903600464577
98,6087,2567,2135,1385,0.42171841629702644,0.35074749466075245,0.22753408904222114
99,5572,2306,1975,1291,0.41385498923187364,0.35445082555635321,0.23169418521177315
100,5192,2219,1794,1179,0.42738828967642528,0.34553158705701076,0.22708012326656393
101,4697,2007,1624,1066,0.42729401745795187,0.34575260804769004,0.2269533744943581
102,4282,1830,1495,957,0.4273703876693134,0.34913591779542269,0.22349369453526388
103,3982,1680,1374,928,0.42189854344550476,0.34505273731793068,0.23304871923656453
104,3685,1589,1259,837,0.43120759837177747,0.34165535956580734,0.2271370420624152
105,3486,1491,1213,782,0.42771084337349397,0.34796328169822144,0.22432587492828457
106,3373,1419,1144,810,0.42069374444115032,0.33916394900681884,0.24014230655203084
107,3349,1398,1142,809,0.41743804120633027,0.340997312630636,0.24156464616303375
108,3259,1370,1130,759,0.4203743479594968,0.34673212641914697,0.23289352562135623
109,3356,1366,1200,790,0.40703218116805723,0.35756853396901073,0.23539928486293207
110,3338,1374,1173,791,0.41162372678250447,0.35140802875973637,0.23696824445775913
111,3611,1521,1196,894,0.42121296039878148,0.33121019108280253,0.24757684851841597
112,4049,1696,1402,951,0.41886885650777972,0.34625833539145467,0.23487280810076563
113,4498,1897,1527,1074,0.42174299688750555,0.33948421520675853,0.23877278790573589
114,4659,1958,1637,1064,0.42026185876797595,0.35136295342348145,0.2283751878085426
115,4988,2067,1772,1149,0.4143945469125902,0.35525260625501204,0.23035284683239776
116,5229,2219,1836,1174,0.42436412315930389,0.35111876075731496,0.22451711608338115
117,5654,2328,2045,1281,0.41174389812522111,0.36169083834453486,0.22656526353024409
118,5900,2351,2151,1398,0.39847457627118643,0.3645762711864407,0.23694915254237289
119,6113,2527,2177,1409,0.41338131850155407,0.35612628823818093,0.23049239326026502
120,5708,2330,2044,1334,0.40819901892081289,0.358093903293623,0.23370707778556413
121,5012,2129,1734,1149,0.424780526735834,0.34596967278531526,0.22924980047885077
122,4606,1992,1571,1043,0.43247937472861486,0.34107685627442469,0.22644376899696048
123,4262,1846,1436,980,0.43312998592210228,0.33693101830126704,0.22993899577663068
124,3897,1627,1379,891,0.41750064151911725,0.35386194508596358,0.22863741339491916
125,3681,1594,1295,792,0.43303450149415917,0.35180657430046181,0.21515892420537897
126,3363,1390,1156,817,0.41332143919119835,0.34374070770145704,0.24293785310734464
127,3046,1253,1090,703,0.41135915955351282,0.35784635587655944,0.23079448456992777
128,2778,1158,961,659,0.41684665226781858,0.3459323254139669,0.23722102231821454
129,2674,1118,924,632,0.41810022438294692,0.34554973821989526,0.23635003739715782
130,2759,1157,966,636,0.41935483870967744,0.35012685755708589,0.23051830373323667
131,2651,1094,947,610,0.41267446246699357,0.35722368917389663,0.23010184835910977
132,2542,1076,905,561,0.42328874901652241,0.35601888276947286,0.22069236821400473
133,2620,1100,920,600,0.41984732824427479,0.35114503816793891,0.22900763358778625
134,2667,1097,956,614,0.411323584551931,0.35845519310086238,0.2302212223472066
135,2868,1181,1006,681,0.4117852161785216,0.35076708507670851,0.23744769874476987
136,3032,1268,1042,722,0.41820580474934038,0.34366754617414247,0.23812664907651715
137,3452,1412,1260,780,0.40903823870220163,0.36500579374275782,0.22595596755504055
138,3746,1523,1352,871,0.40656700480512548,0.36091831286705822,0.23251468232781633
139,3891,1630,1376,885,0.41891544590079671,0.35363659727576457,0.22744795682343871
140,4178,1697,1492,989,0.40617520344662517,0.35710866443274292,0.23671613212063189
141,4486,1816,1577,1093,0.40481497993758359,0.35153811859117251,0.24364690147124388
142,4874,1971,1723,1180,0.40439064423471482,0.353508411981945,0.24210094378334018
143,5153,2155,1789,1209,0.41820298855035903,0.34717640209586648,0.23462060935377449
144,4813,1963,1704,1146,0.40785372948265114,0.35404113858300434,0.23810513193434449
145,4412,1838,1557,1017,0.41659111514052583,0.35290117860380782,0.23050770625566636
146,3939,1652,1384,903,0.41939578573241937,0.35135821274435136,0.22924600152322924
147,3630,1479,1274,877,0.40743801652892564,0.3509641873278237,0.24159779614325069
148,3276,1384,1167,725,0.42246642246642246,0.35622710622710624,0.2213064713064713
149,3054,1264,1096,694,0.41388343156516044,0.35887360838244925,0.22724296005239031
150,2834,1169,1006,659,0.41249117854622441,0.35497529992942839,0.23253352152434723
151,2530,1050,921,559,0.41501976284584979,0.36403162055335969,0.22094861660079052
152,2253,946,794,513,0.41988459831335995,0.35241899689303152,0.22769640479360853
153,2193,933,747,513,0.42544459644322846,0.34062927496580025,0.23392612859097128
154,2166,875,779,512,0.40397045244690671,0.35964912280701755,0.23638042474607571
155,2169,903,763,503,0.41632088520055327,0.3517750115260489,0.23190410327339789
156,2145,850,757,538,0.39627039627039629,0.35291375291375293,0.25081585081585084
157,2072,876,695,501,0.42277992277992277,0.33542471042471045,0.24179536679536678
158,2187,895,771,521,0.40923639689071789,0.35253772290809327,0.23822588020118884
159,2351,987,837,527,0.41982135261590814,0.35601871544023822,0.22415993194385367
160,2532,1042,911,579,0.41153238546603477,0.35979462875197471,0.22867298578199052
161,2929,1187,1058,684,0.40525776715602596,0.36121543188801641,0.23352680095595765
162,3028,1256,1096,676,0.41479524438573318,0.3619550858652576,0.22324966974900926
163,3443,1413,1219,811,0.41039790880046473,0.35405169909962242,0.23555039209991285
164,3531,1404,1300,827,0.39762107051826678,0.36816765788728406,0.23421127159444916
165,3785,1523,1353,909,0.40237780713342142,0.35746367239101717,0.24015852047556144
166,4210,1717,1472,1021,0.40783847980997623,0.34964370546318291,0.24251781472684086
167,4478,1828,1631,1019,0.40821795444394821,0.36422510049129075,0.22755694506476104
168,4457,1912,1523,1022,0.42898810859322412,0.34170967018173659,0.22930222122503927
169,4025,1679,1447,899,0.41714285714285715,0.3595031055900621,0.22335403726708075
170,3585,1512,1255,818,0.4217573221757322,0.35006973500697353,0.22817294281729428
171,3177,1306,1137,734,0.41107963487566884,0.35788479697828141,0.23103556814604972
172,2943,1209,1041,693,0.41080530071355759,0.35372069317023447,0.23547400611620795
173,2647,1130,930,587,0.426898375519456,0.35134114091424251,0.22176048356630149
174,2341,1031,797,513,0.44041008116189662,0.34045279794959421,0.21913712088850917
175,2148,874,740,534,0.40689013035381749,0.34450651769087526,0.24860335195530725
176,1897,845,647,405,0.44544016868740116,0.34106483921982078,0.21349499209277806
177,1902,756,689,457,0.39747634069400634,0.36225026288117773,0.240273396424816
178,1824,748,624,452,0.41008771929824561,0.34210526315789475,0.24780701754385964
179,1804,763,613,428,0.42294900221729492,0.33980044345898003,0.23725055432372505
180,1768,744,612,412,0.42081447963800905,0.34615384615384615,0.2330316742081448
181,1776,735,637,404,0.41385135135135137,0.35867117117117114,0.22747747747747749
182,1759,736,618,405,0.41841955656623081,0.35133598635588403,0.23024445707788516
183,1870,802,672,396,0.4288770053475936,0.35935828877005349,0.21176470588235294
184,2064,867,711,486,0.42005813953488375,0.34447674418604651,0.23546511627906977
185,2216,931,755,530,0.42012635379061369,0.34070397111913359,0.23916967509025272
186,2422,1014,838,570,0.4186622625928984,0.34599504541701076,0.23534269199009084
187,2501,1049,885,567,0.41943222710915634,0.35385845661735305,0.22670931627349061
188,2597,1077,925,595,0.41470927993839046,0.35618020793222949,0.22911051212938005
189,2919,1202,1027,690,0.41178485782802332,0.35183281945871875,0.23638232271325796
190,3166,1304,1133,729,0.41187618445988627,0.35786481364497791,0.23025900189513582
191,3259,1373,1123,763,0.42129487572875113,0.34458422829088675,0.23412089598036206
192,3042,1266,1108,668,0.41617357001972388,0.36423405654174884,0.21959237343852728
193,2785,1161,960,664,0.41687612208258529,0.34470377019748655,0.23842010771992819
194,2542,1053,916,573,0.41424075531077892,0.36034618410700237,0.22541306058221872
195,2366,1026,850,490,0.43364327979712597,0.3592561284868977,0.20710059171597633
196,2149,900,774,475,0.41879944160074456,0.3601675197766403,0.22103303862261517
197,2092,851,750,491,0.40678776290630975,0.35850860420650094,0.23470363288718929
198,1904,828,660,416,0.43487394957983194,0.34663865546218486,0.21848739495798319
199,1661,702,576,383,0.42263696568332332,0.34677904876580373,0.23058398555087298
200,1660,697,586,377,0.41987951807228918,0.3530120481927711,0.22710843373493975
201,1548,680,535,333,0.43927648578811368,0.34560723514211888,0.21511627906976744
202,1525,649,534,342,0.42557377049180328,0.35016393442622951,0.22426229508196721
203,1467,631,511,325,0.43012951601908656,0.34832992501704158,0.22154055896387184
204,1495,662,517,316,0.442809364548495,0.345819397993311,0.21137123745819397
205,1398,593,506,299,0.42417739628040058,0.36194563662374823,0.21387696709585122
206,1473,653,480,340,0.44331296673455534,0.32586558044806518,0.23082145281737951
207,1482,651,478,353,0.43927125506072873,0.32253711201079621,0.23819163292847503
208,1601,630,598,373,0.39350405996252341,0.3735165521549032,0.23297938788257339
209,1710,738,585,387,0.43157894736842106,0.34210526315789475,0.22631578947368422
210,1862,743,684,435,0.39903329752953814,0.36734693877551022,0.23361976369495166
211,1922,847,666,409,0.44068678459937566,0.3465140478668054,0.21279916753381894
212,2071,879,732,460,0.42443264123611779,0.35345243843553836,0.22211492032834379
213,2133,925,725,483,0.43366150961087668,0.33989685888420068,0.22644163150492264
214,2321,998,827,496,0.42998707453683754,0.35631193451098664,0.21370099095217579
215,2450,1070,837,543,0.43673469387755104,0.34163265306122448,0.22163265306122448
216,2247,977,775,495,0.43480195816644412,0.34490431686693368,0.22029372496662217
217,2097,925,709,463,0.44110634239389607,0.33810205054840248,0.22079160705770148
218,1906,800,679,427,0.41972717733473242,0.35624344176285416,0.22402938090241342
219,1803,753,667,383,0.41763727121464228,0.36993899057127011,0.21242373821408764
220,1703,718,592,393,0.42160892542571932,0.3476218438050499,0.23076923076923078
221,1635,694,569,372,0.42446483180428135,0.34801223241590212,0.22752293577981653
222,1473,636,541,296,0.43177189409368638,0.36727766463000677,0.20095044127630685
223,1388,609,484,295,0.43876080691642649,0.34870317002881845,0.21253602305475505
224,1309,507,514,288,0.387318563789152,0.39266615737203975,0.22001527883880825
225,1255,538,412,305,0.42868525896414345,0.32828685258964141,0.24302788844621515
226,1201,502,434,265,0.417985012489592,0.36136552872606159,0.22064945878434639
227,1220,496,462,262,0.40655737704918032,0.37868852459016394,0.21475409836065573
228,1240,511,443,286,0.4120967741935484,0.357258064516129,0.23064516129032259
229,1200,521,406,273,0.43416666666666665,0.33833333333333332,0.2275
230,1213,522,405,286,0.43033800494641383,0.33388293487221765,0.23577906018136852
231,1273,552,436,285,0.43362136684996072,0.34249803613511393,0.22388059701492538
232,1285,508,479,298,0.39533073929961088,0.3727626459143969,0.23190661478599223
233,1423,574,521,328,0.40337315530569218,0.36612789880534086,0.23049894588896697
234,1593,639,576,378,0.40112994350282488,0.3615819209039548,0.23728813559322035
235,1580,640,564,376,0.4050632911392405,0.35696202531645571,0.23797468354430379
236,1719,706,600,413,0.4107038976148924,0.34904013961605584,0.24025596276905178
237,1814,741,650,423,0.40848952590959209,0.35832414553472985,0.23318632855567806
238,1897,751,716,430,0.39588824459673166,0.37743806009488667,0.22667369530838166
239,2011,795,728,488,0.39532570860268523,0.36200895077076084,0.24266534062655395
240,1859,787,645,427,0.42334588488434644,0.34696073157611618,0.22969338353953739
241,1778,758,622,398,0.4263217097862767,0.34983127109111362,0.22384701912260968
242,1628,647,613,368,0.39742014742014742,0.37653562653562656,0.22604422604422605
243,1493,617,524,352,0.41326188881446752,0.35097119892833223,0.23576691225720026
244,1368,572,496,300,0.41812865497076024,0.36257309941520466,0.21929824561403508
245,1344,570,450,324,0.42410714285714285,0.33482142857142855,0.24107142857142858
246,1193,519,406,268,0.43503772003352892,0.34031852472757751,0.22464375523889354
247,1115,446,393,276,0.4,0.35246636771300449,0.24753363228699551
248,1098,454,367,277,0.4134790528233151,0.33424408014571949,0.25227686703096541
249,1051,448,364,239,0.42626070409134159,0.346336822074215,0.2274024738344434
250,1004,414,336,254,0.41235059760956178,0.33466135458167329,0.25298804780876494
251,998,421,335,242,0.42184368737474948,0.33567134268537074,0.24248496993987975
252,992,419,321,252,0.4223790322580645,0.32358870967741937,0.25403225806451613
253,1024,369,405,250,0.3603515625,0.3955078125,0.244140625
254,1001,418,381,202,0.4175824175824176,0.38061938061938061,0.20179820179820179
255,1046,425,377,244,0.40630975143403442,0.36042065009560231,0.2332695984703633
256,1115,444,412,259,0.39820627802690584,0.36950672645739913,0.23228699551569507
257,1262,495,457,310,0.39223454833597465,0.36212361331220283,0.24564183835182252
258,1363,607,447,309,0.44534115920763023,0.32795304475421866,0.22670579603815114
259,1430,593,490,347,0.41468531468531467,0.34265734265734266,0.24265734265734265
260,1451,617,511,323,0.425223983459683,0.352170916609235,0.22260509993108202
261,1535,669,514,352,0.43583061889250813,0.33485342019543973,0.22931596091205211
262,1656,692,566,398,0.41787439613526572,0.34178743961352659,0.24033816425120774
263,1801,726,669,406,0.40310938367573568,0.37146029983342588,0.22543031649083842
264,1727,757,600,370,0.438332368268674,0.34742327735958312,0.21424435437174291
265,1641,680,593,368,0.41438147471054237,0.36136502132845827,0.22425350396099938
266,1411,585,494,332,0.41459957476966691,0.35010630758327427,0.23529411764705882
267,1339,543,492,304,0.40552651232262882,0.36743838685586261,0.2270351008215086
268,1255,514,454,287,0.40956175298804781,0.36175298804780875,0.22868525896414343
269,1088,437,389,262,0.4016544117647059,0.35753676470588236,0.24080882352941177
270,1098,454,376,268,0.4134790528233151,0.34244080145719491,0.24408014571949
271,1059,418,381,260,0.39471199244570349,0.35977337110481589,0.24551463644948066
272,918,370,327,221,0.40305010893246185,0.3562091503267974,0.24074074074074073
273,908,376,314,218,0.41409691629955947,0.3458149779735683,0.24008810572687225
274,897,376,308,213,0.41917502787068006,0.34336677814938682,0.23745819397993312
275,890,356,301,233,0.4,0.33820224719101122,0.26179775280898876
276,888,371,310,207,0.4177927927927928,0.34909909909909909,0.23310810810810811
277,930,379,326,225,0.40752688172043011,0.35053763440860214,0.24193548387096775
278,883,356,320,207,0.40317100792751981,0.362400906002265,0.23442808607021517
279,957,401,343,213,0.41901776384535006,0.35841170323928945,0.2225705329153605
280,1032,434,358,240,0.42054263565891475,0.34689922480620156,0.23255813953488372
281,1104,474,378,252,0.42934782608695654,0.34239130434782611,0.22826086956521738
282,1238,513,428,297,0.41437802907915994,0.345718901453958,0.23990306946688206
283,1294,554,440,300,0.42812982998454407,0.34003091190108192,0.23183925811437403
284,1402,566,502,334,0.4037089871611983,0.35805991440798857,0.23823109843081314
285,1430,590,511,329,0.41258741258741261,0.35734265734265735,0.23006993006993007
286,1513,626,552,335,0.41374752148050231,0.36483807005948449,0.22141440846001323
287,1725,710,600,415,0.4115942028985507,0.34782608695652173,0.24057971014492754
288,1547,642,546,359,0.41499676793794443,0.35294117647058826,0.23206205559146736
289,1453,620,481,352,0.4267033723331039,0.33103922918100481,0.24225739848589126
290,1367,543,503,321,0.39722019019751281,0.36795903438185806,0.23482077542062912
291,1255,515,434,306,0.41035856573705182,0.34581673306772909,0.24382470119521912
292,1168,480,411,277,0.410958904109589,0.35188356164383561,0.23715753424657535
293,1136,501,377,258,0.44102112676056338,0.33186619718309857,0.22711267605633803
294,962,393,363,206,0.40852390852390852,0.37733887733887733,0.21413721413721415
295,936,381,328,227,0.40705128205128205,0.3504273504273504,0.24252136752136752
296,922,364,347,211,0.39479392624728848,0.37635574837310193,0.22885032537960953
297,832,349,302,181,0.41947115384615385,0.36298076923076922,0.21754807692307693
298,840,348,273,219,0.41428571428571431,0.325,0.26071428571428573
299,850,357,288,205,0.42,0.33882352941176469,0.2411764705882353
300,828,338,284,206,0.40821256038647341,0.34299516908212563,0.24879227053140096
301,819,342,280,197,0.4175824175824176,0.34188034188034189,0.24053724053724054
302,831,348,283,200,0.41877256317689532,0.3405535499398315,0.24067388688327315
303,900,369,315,216,0.41,0.35,0.24
304,965,390,356,219,0.40414507772020725,0.36891191709844562,0.22694300518134716
305,1090,471,375,244,0.43211009174311926,0.34403669724770641,0.22385321100917432
306,1141,471,411,259,0.41279579316389131,0.36021034180543382,0.22699386503067484
307,1215,482,431,302,0.39670781893004115,0.35473251028806585,0.248559670781893
308,1301,533,479,289,0.409684857801691,0.36817832436587239,0.22213681783243658
309,1448,562,528,358,0.38812154696132595,0.36464088397790057,0.24723756906077349
310,1569,668,552,349,0.425748884639898,0.35181644359464626,0.2224346717654557
311,1607,637,605,365,0.39639079029247043,0.37647790914747975,0.22713130056004979
312,1522,647,520,355,0.42509855453350853,0.34165571616294349,0.23324572930354795
313,1395,595,467,333,0.4265232974910394,0.33476702508960571,0.23870967741935484
314,1284,500,468,316,0.38940809968847351,0.3644859813084112,0.24610591900311526
315,1267,522,425,320,0.41199684293606947,0.33543804262036309,0.2525651144435675
316,1138,462,405,271,0.40597539543058,0.35588752196836554,0.23813708260105448
317,1164,495,406,263,0.42525773195876287,0.34879725085910651,0.22594501718213059
318,986,410,345,231,0.41582150101419879,0.34989858012170383,0.23427991886409735
319,876,365,321,190,0.41666666666666669,0.36643835616438358,0.21689497716894976
320,810,325,291,194,0.40123456790123457,0.35925925925925928,0.23950617283950618
321,753,322,259,172,0.42762284196547146,0.34395750332005315,0.22841965471447542
322,734,309,250,175,0.42098092643051771,0.34059945504087191,0.23841961852861035
323,784,319,262,203,0.40688775510204084,0.33418367346938777,0.25892857142857145
324,776,316,286,174,0.40721649484536082,0.36855670103092786,0.22422680412371135
325,823,310,293,220,0.37667071688942894,0.35601458080194409,0.267314702308627
326,827,343,295,189,0.4147521160822249,0.35671100362756952,0.22853688029020555
327,852,343,291,218,0.40258215962441313,0.34154929577464788,0.25586854460093894
328,899,350,346,203,0.389321468298109,0.38487208008898777,0.22580645161290322
329,1062,431,385,246,0.40583804143126179,0.36252354048964219,0.23163841807909605
330,1132,473,399,260,0.41784452296819791,0.35247349823321555,0.22968197879858657
331,1213,485,436,292,0.39983511953833473,0.359439406430338,0.2407254740313273
332,1241,512,443,286,0.41257050765511682,0.35697018533440772,0.23045930701047543
333,1335,532,479,324,0.398501872659176,0.3588014981273408,0.24269662921348314
334,1512,638,531,343,0.421957671957672,0.35119047619047616,0.22685185185185186
335,1606,621,584,401,0.38667496886674968,0.36363636363636365,0.24968866749688667
336,1476,611,538,327,0.41395663956639567,0.36449864498644985,0.22154471544715448
337,1445,608,511,326,0.42076124567474049,0.35363321799307956,0.22560553633217992
338,1281,535,450,296,0.41764246682279471,0.351288056206089,0.23106947697111632
339,1196,495,402,299,0.41387959866220736,0.33612040133779264,0.25
340,1159,489,389,281,0.42191544434857636,0.33563416738567731,0.24245038826574633
341,1068,439,372,257,0.41104868913857678,0.34831460674157305,0.24063670411985019
342,879,365,322,192,0.41524459613196812,0.366325369738339,0.21843003412969283
343,840,340,287,213,0.40476190476190477,0.34166666666666667,0.25357142857142856
344,802,327,290,185,0.4077306733167082,0.36159600997506236,0.23067331670822944
345,800,327,291,182,0.40875,0.36375,0.2275
346,700,290,252,158,0.41428571428571431,0.36,0.2257142857142857
347,751,334,260,157,0.44474034620505992,0.34620505992010653,0.20905459387483355
348,693,274,233,186,0.39538239538239539,0.3362193362193362,0.26839826839826841
349,689,284,226,179,0.41219158200290273,0.32801161103047893,0.25979680696661828
350,704,286,249,169,0.40625,0.35369318181818182,0.24005681818181818
351,727,285,259,183,0.39202200825309491,0.35625859697386519,0.2517193947730399
352,803,340,278,185,0.42341220423412207,0.34620174346201743,0.23038605230386053
