recency_,frequency_,population
1092,5,522
1092,6,358
1092,7,280
1092,8,175
1092,9,156
1092,10,131
1092,11,761
1120,1,13086
1120,2,3602
1120,3,1479
1120,4,826
1120,5,539
1120,6,305
1120,7,259
1120,8,197
1120,9,143
1120,10,117
1120,11,849
1148,1,14222
1148,2,3683
1148,3,1631
1148,4,882
1148,5,576
1148,6,403
1148,7,275
1148,8,205
1148,9,142
1148,10,110
1148,11,855
1176,1,13624
1176,2,3478
1176,3,1441
1176,4,746
1176,5,496
1176,6,326
1176,7,240
1176,8,190
1176,9,134
1176,10,78
1176,11,725
1204,1,14004
1204,2,3469
1204,3,1353
1204,4,765
1204,5,437
1204,6,301
1204,7,218
1204,8,153
1204,9,128
1204,10,120
1204,11,646
1232,1,14427
1232,2,3422
1232,3,1404
1232,4,766
1232,5,460
1232,6,281
1232,7,230
1232,8,141
1232,9,127
1232,10,92
1232,11,605
1260,1,14953
1260,2,3482
1260,3,1370
1260,4,704
1260,5,430
1260,6,267
1260,7,202
1260,8,164
1260,9,121
1260,10,87
1260,11,569
1288,1,15779
1288,2,3451
1288,3,1394
1288,4,680
1288,5,414
1288,6,258
1288,7,205
1288,8,135
1288,9,115
1288,10,91
1288,11,525
1316,1,15090
1316,2,3241
1316,3,1156
1316,4,577
1316,5,352
1316,6,242
1316,7,171
1316,8,117
1316,9,87
1316,10,73
1316,11,455
1344,1,14170
1344,2,2765
1344,3,1045
1344,4,499
1344,5,285
1344,6,198
1344,7,144
1344,8,101
1344,9,78
1344,10,59
1344,11,350
1372,1,13743
1372,2,2542
1372,3,884
1372,4,450
1372,5,264
1372,6,175
1372,7,123
1372,8,97
1372,9,76
1372,10,46
1372,11,339
1400,1,14140
1400,2,2425
1400,3,890
1400,4,433
1400,5,250
1400,6,153
1400,7,130
1400,8,71
1400,9,61
1400,10,38
1400,11,257
1428,1,15697
1428,2,2399
1428,3,826
1428,4,399
1428,5,210
1428,6,143
1428,7,122
1428,8,74
1428,9,61
1428,10,44
1428,11,220
1456,1,16069
1456,2,1950
1456,3,640
1456,4,299
1456,5,149
1456,6,107
1456,7,55
1456,8,47
1456,9,37
1456,10,28
1456,11,117
1484,1,2594
1484,2,238
1484,3,58
1484,4,15
1484,5,9
1484,6,9
1484,7,1
1484,8,2
1484,9,2
1484,10,1
1484,11,4
