a_month,a_length_avg
2010-01-01,140.42557471789928
2010-02-01,145.38599335958617
2010-03-01,146.19092885935976
2010-04-01,146.7420502577915
2010-05-01,148.21599104588276
2010-06-01,149.57432444025062
2010-07-01,151.332061456664
2010-08-01,158.04422482920307
2010-09-01,156.15813942226168
2010-10-01,157.22390801734437
2010-11-01,156.06321221842424
2010-12-01,160.07344247869122
2011-01-01,162.73030752130421
2011-02-01,162.33409381441393
2011-03-01,165.07241028188071
2011-04-01,170.70998029256859
2011-05-01,173.39679382529832
2011-06-01,172.60401676944218
2011-07-01,174.18853044369376
2011-08-01,176.95906270259832
2011-09-01,180.31930468056234
2011-10-01,182.97254751495666
2011-11-01,185.28122871274385
2011-12-01,191.39644660577019
2012-01-01,189.85673163835173
2012-02-01,192.47150397066858
2012-03-01,196.68379264547443
2012-04-01,203.96295384615357
2012-05-01,205.65437038730917
2012-06-01,208.52810012278155
2012-07-01,212.36938993469863
2012-08-01,212.71523656938814
2012-09-01,214.24994596692261
2012-10-01,219.1059066683722
2012-11-01,227.89070004718241
2012-12-01,228.79443162710609
2013-01-01,228.61688565501052
2013-02-01,231.4382732493923
2013-03-01,236.85525133408805
2013-04-01,241.27795562306542
2013-05-01,239.60023571566776
2013-06-01,237.00469913862074
2013-07-01,241.40784041389875
2013-08-01,245.04507466485896
2013-09-01,247.57192469653705
2013-10-01,246.16307850371319
2013-11-01,250.81032206596274
2013-12-01,252.4334794490392
2014-01-01,253.95552748398705
2014-02-01,253.81742776135241
2014-03-01,258.18666863266856
2014-04-01,257.3102701126416
2014-05-01,267.88228581826758
2014-06-01,267.48751806623409
2014-07-01,273.268303257334
2014-08-01,275.51551001971086
2014-09-01,278.98705447415227
2014-10-01,281.85083416279929
2014-11-01,284.59906933992158
2014-12-01,287.76497656216242
2015-01-01,289.26059062758918
2015-02-01,285.15450626155013
2015-03-01,288.13867205606624
2015-04-01,291.86136432076819
2015-05-01,294.58885157774517
2015-06-01,295.55259966008828
2015-07-01,298.59169441210719
2015-08-01,305.27412060971358
2015-09-01,309.97309125202503
2015-10-01,309.74908920853647
2015-11-01,312.22901101532938
2015-12-01,315.0972689590792
2016-01-01,311.36953688949018
2016-02-01,317.26157726497343
2016-03-01,315.47539790304592
2016-04-01,312.04345286176016
2016-05-01,320.83427218001958
2016-06-01,320.83024542038407
2016-07-01,324.63521330586997
2016-08-01,327.37312026031321
2016-09-01,324.75980007880423
2016-10-01,325.38654340558287
2016-11-01,328.76474688507204
2016-12-01,341.31256764988365
2017-01-01,336.52021314074454
2017-02-01,335.30847636866315
2017-03-01,332.92000715115643
2017-04-01,343.50709224193594
2017-05-01,341.01761573444179
2017-06-01,340.69581625349696
2017-07-01,341.3304196428233
2017-08-01,339.293927478201
2017-09-01,338.31117471633161
2017-10-01,340.06596538970217
2017-11-01,344.85442192267226
2017-12-01,354.29676938445647
2018-01-01,343.6886443198635
2018-02-01,349.1835281594914
2018-03-01,349.6655507996349
2018-04-01,350.3922450611538
2018-05-01,352.96516658588826
2018-06-01,350.75157498370658
2018-07-01,351.17264956479079
2018-08-01,352.1743116762654
2018-09-01,349.46795678806461
2018-10-01,351.17029240398989
2018-11-01,353.40997495393094
2018-12-01,354.69547475518863
2019-01-01,354.6845787692825
2019-02-01,356.83243219396064
2019-03-01,361.51433776002159
2019-04-01,357.93152315274261
2019-05-01,363.92768905705174
2019-06-01,361.86862342012984
2019-07-01,357.46031660193506
2019-08-01,356.62358832526616
2019-09-01,358.62867954250896
2019-10-01,354.89861062045674
2019-11-01,362.19128870045193
2019-12-01,369.14285247259204
2020-01-01,362.15700411933778
2020-02-01,365.81749540916957
2020-03-01,370.01611308271737
2020-04-01,362.99335619099878
2020-05-01,365.85342954083251
2020-06-01,369.36463954002369
2020-07-01,381.95133393957042
2020-08-01,386.37350843712193
